D:\GITHUB\ELL784\Assignment1\NeuralNetwork\activations.py:6: RuntimeWarning: overflow encountered in exp
  return 1 / (1 + np.exp(-x))
1/150, error=0.0915, accuracy=0.2988, val_error=0.0738, val_accuracy=0.4225
68/150, error=0.0167, accuracy=0.8883, val_error=0.0176, val_accuracy=0.8785
69/150, error=0.0164, accuracy=0.8907, val_error=0.0166, val_accuracy=0.886
70/150, error=0.0161, accuracy=0.8921, val_error=0.0169, val_accuracy=0.8825
71/150, error=0.0164, accuracy=0.8918, val_error=0.0177, val_accuracy=0.8755
72/150, error=0.0167, accuracy=0.8875, val_error=0.0179, val_accuracy=0.88
73/150, error=0.0164, accuracy=0.891, val_error=0.017, val_accuracy=0.885
74/150, error=0.0159, accuracy=0.8941, val_error=0.0176, val_accuracy=0.885
75/150, error=0.0161, accuracy=0.8944, val_error=0.0175, val_accuracy=0.8855
76/150, error=0.0157, accuracy=0.8954, val_error=0.0161, val_accuracy=0.8945
77/150, error=0.0155, accuracy=0.8971, val_error=0.0161, val_accuracy=0.894
78/150, error=0.0154, accuracy=0.8978, val_error=0.0159, val_accuracy=0.894
79/150, error=0.0152, accuracy=0.8991, val_error=0.0167, val_accuracy=0.8855
80/150, error=0.016, accuracy=0.893, val_error=0.0167, val_accuracy=0.888
81/150, error=0.0162, accuracy=0.8913, val_error=0.017, val_accuracy=0.8865
82/150, error=0.0161, accuracy=0.8921, val_error=0.0159, val_accuracy=0.898
83/150, error=0.0156, accuracy=0.8979, val_error=0.0155, val_accuracy=0.897
84/150, error=0.0155, accuracy=0.896, val_error=0.0154, val_accuracy=0.9005
85/150, error=0.015, accuracy=0.9007, val_error=0.0156, val_accuracy=0.896
86/150, error=0.0146, accuracy=0.9031, val_error=0.0153, val_accuracy=0.899
87/150, error=0.0146, accuracy=0.9019, val_error=0.0156, val_accuracy=0.892
88/150, error=0.0146, accuracy=0.9026, val_error=0.0148, val_accuracy=0.898
89/150, error=0.0145, accuracy=0.9049, val_error=0.0148, val_accuracy=0.9025
90/150, error=0.0144, accuracy=0.9044, val_error=0.0154, val_accuracy=0.896
91/150, error=0.0147, accuracy=0.9037, val_error=0.0166, val_accuracy=0.886
92/150, error=0.0148, accuracy=0.9014, val_error=0.0164, val_accuracy=0.888
93/150, error=0.0147, accuracy=0.9023, val_error=0.0161, val_accuracy=0.8885
94/150, error=0.0146, accuracy=0.9022, val_error=0.0158, val_accuracy=0.891
95/150, error=0.0146, accuracy=0.903, val_error=0.0159, val_accuracy=0.8925
96/150, error=0.0147, accuracy=0.9022, val_error=0.0161, val_accuracy=0.8925
97/150, error=0.0154, accuracy=0.8963, val_error=0.0165, val_accuracy=0.8915
98/150, error=0.0159, accuracy=0.8926, val_error=0.0164, val_accuracy=0.8955
99/150, error=0.0164, accuracy=0.8904, val_error=0.0173, val_accuracy=0.882
100/150, error=0.0159, accuracy=0.8935, val_error=0.0157, val_accuracy=0.8955
101/150, error=0.0149, accuracy=0.9017, val_error=0.0157, val_accuracy=0.891
102/150, error=0.0148, accuracy=0.9011, val_error=0.0162, val_accuracy=0.884
103/150, error=0.0148, accuracy=0.902, val_error=0.0157, val_accuracy=0.891
104/150, error=0.0147, accuracy=0.9022, val_error=0.0166, val_accuracy=0.8855
105/150, error=0.015, accuracy=0.8998, val_error=0.0161, val_accuracy=0.8955
106/150, error=0.0146, accuracy=0.9029, val_error=0.0155, val_accuracy=0.897
107/150, error=0.0149, accuracy=0.9005, val_error=0.0162, val_accuracy=0.887
108/150, error=0.0149, accuracy=0.901, val_error=0.0155, val_accuracy=0.895
109/150, error=0.0152, accuracy=0.8994, val_error=0.0155, val_accuracy=0.9005
110/150, error=0.0147, accuracy=0.9023, val_error=0.0149, val_accuracy=0.904
111/150, error=0.0146, accuracy=0.9029, val_error=0.0161, val_accuracy=0.8915
112/150, error=0.0145, accuracy=0.9049, val_error=0.0147, val_accuracy=0.9005
113/150, error=0.0146, accuracy=0.9042, val_error=0.0147, val_accuracy=0.9015
114/150, error=0.0143, accuracy=0.9061, val_error=0.0136, val_accuracy=0.9125
115/150, error=0.0143, accuracy=0.9055, val_error=0.0143, val_accuracy=0.9065
116/150, error=0.0145, accuracy=0.9036, val_error=0.0154, val_accuracy=0.897
117/150, error=0.0145, accuracy=0.9047, val_error=0.0152, val_accuracy=0.9
118/150, error=0.0143, accuracy=0.9046, val_error=0.0155, val_accuracy=0.897
119/150, error=0.0144, accuracy=0.9037, val_error=0.0153, val_accuracy=0.8955
120/150, error=0.0145, accuracy=0.904, val_error=0.0156, val_accuracy=0.896
121/150, error=0.0146, accuracy=0.9019, val_error=0.0152, val_accuracy=0.8955
122/150, error=0.0143, accuracy=0.9036, val_error=0.0151, val_accuracy=0.898
123/150, error=0.0136, accuracy=0.9093, val_error=0.014, val_accuracy=0.909
124/150, error=0.0135, accuracy=0.911, val_error=0.0147, val_accuracy=0.903
125/150, error=0.0139, accuracy=0.9069, val_error=0.0153, val_accuracy=0.898
126/150, error=0.0137, accuracy=0.9089, val_error=0.0155, val_accuracy=0.8915
127/150, error=0.0141, accuracy=0.9069, val_error=0.0141, val_accuracy=0.908
128/150, error=0.0136, accuracy=0.9104, val_error=0.0139, val_accuracy=0.9105
129/150, error=0.0137, accuracy=0.9092, val_error=0.0146, val_accuracy=0.9035
130/150, error=0.0139, accuracy=0.9079, val_error=0.0152, val_accuracy=0.9015
131/150, error=0.0143, accuracy=0.9054, val_error=0.0147, val_accuracy=0.905
132/150, error=0.0141, accuracy=0.9061, val_error=0.0147, val_accuracy=0.9015
133/150, error=0.0142, accuracy=0.9052, val_error=0.0156, val_accuracy=0.897
134/150, error=0.0145, accuracy=0.9027, val_error=0.0152, val_accuracy=0.9015
135/150, error=0.0143, accuracy=0.9052, val_error=0.0154, val_accuracy=0.901
136/150, error=0.0144, accuracy=0.9043, val_error=0.0154, val_accuracy=0.899
137/150, error=0.0142, accuracy=0.9058, val_error=0.0152, val_accuracy=0.8985
138/150, error=0.0139, accuracy=0.9084, val_error=0.0145, val_accuracy=0.9045
139/150, error=0.0139, accuracy=0.9082, val_error=0.0152, val_accuracy=0.9005
140/150, error=0.0145, accuracy=0.9043, val_error=0.0148, val_accuracy=0.901
141/150, error=0.0143, accuracy=0.9053, val_error=0.0149, val_accuracy=0.905
142/150, error=0.0139, accuracy=0.9079, val_error=0.0157, val_accuracy=0.8985
143/150, error=0.014, accuracy=0.9067, val_error=0.0148, val_accuracy=0.9015
144/150, error=0.0142, accuracy=0.9052, val_error=0.0149, val_accuracy=0.9005
145/150, error=0.0141, accuracy=0.9071, val_error=0.0148, val_accuracy=0.903
146/150, error=0.0141, accuracy=0.9056, val_error=0.0143, val_accuracy=0.9075
147/150, error=0.0144, accuracy=0.9049, val_error=0.0142, val_accuracy=0.9045
148/150, error=0.0147, accuracy=0.9022, val_error=0.0142, val_accuracy=0.9075
149/150, error=0.0145, accuracy=0.904, val_error=0.014, val_accuracy=0.9095
150/150, error=0.0144, accuracy=0.9049, val_error=0.0141, val_accuracy=0.905
